id,location_id,sales_id,features_id,assessorID,legalDescription,ownerOccupied,yearBuilt,zoning,propertyType,taxAssessment,propertyTaxes,subdivision
"6830-Twin-Lake-Dr,-San-Antonio,-TX-78244",176,117,157,05076-108-0340,CB 5076A BLK 8 LOT 34,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 98934, 'land': 18140, 'improvements': 84120}, '2019': {'value': 108827, 'land': 22670, 'improvements': 87020}, '2020': {'value': 115270, 'land': 22670, 'improvements': 92600}, '2022': {'value': 158960, 'land': 47050, 'improvements': 111910}, '2023': {'value': 181510, 'land': 56390, 'improvements': 125120}}","{'2019': {'total': 2070}, '2021': {'total': 2374}, '2022': {'total': 2306}, '2023': {'total': 1716}}",CONV A/S CODE
"6902-Twin-Lake-Dr,-San-Antonio,-TX-78244",177,118,158,05076-103-0890,CB 5076A BLK 3 LOT 89,1.0,1973.0,unknown,Single Family,"{'2018': {'value': 117100, 'land': 19240, 'improvements': 97860}, '2019': {'value': 125360, 'land': 24040, 'improvements': 101320}, '2020': {'value': 131860, 'land': 24040, 'improvements': 107820}, '2021': {'value': 153080, 'land': 46320, 'improvements': 106760}, '2022': {'value': 183200, 'land': 51010, 'improvements': 132190}, '2023': {'value': 209050, 'land': 61160, 'improvements': 147890}}","{'2019': {'total': 2775}, '2021': {'total': 3249}, '2022': {'total': 3794}, '2023': {'total': 2341}}",CONV A/S CODE
"6902-Quail-Lk,-San-Antonio,-TX-78244",178,0,159,05080-504-0040,CB 5080E BLK 4 LOT 4 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 141640, 'land': 18170, 'improvements': 123470}, '2019': {'value': 150570, 'land': 22710, 'improvements': 127860}, '2020': {'value': 158760, 'land': 22710, 'improvements': 136050}, '2021': {'value': 174636, 'land': 42770, 'improvements': 134730}, '2022': {'value': 211860, 'land': 47060, 'improvements': 164800}, '2023': {'value': 240890, 'land': 56500, 'improvements': 184390}}","{'2019': {'total': 3331}, '2021': {'total': 3386}, '2022': {'total': 3360}, '2023': {'total': 2759}}",WOODLAKE PARK
"6842-Twin-Lake-Dr,-San-Antonio,-TX-78244",179,119,160,05076-108-0370,CB 5076A BLK 8 LOT 37,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 130820, 'land': 18470, 'improvements': 112350}, '2019': {'value': 139710, 'land': 23080, 'improvements': 116630}, '2020': {'value': 147180, 'land': 23080, 'improvements': 124100}, '2022': {'value': 201160, 'land': 48160, 'improvements': 153000}, '2023': {'value': 229540, 'land': 57810, 'improvements': 171730}}","{'2019': {'total': 3092}, '2021': {'total': 3116}, '2022': {'total': 2499}, '2023': {'total': 1503}}",CONV A/S CODE
"6914-Trail-Lk,-San-Antonio,-TX-78244",180,120,161,05080-502-0130,CB 5080E BLK 2 LOT 13 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 117820, 'land': 17260, 'improvements': 100560}, '2019': {'value': 125560, 'land': 21570, 'improvements': 103990}, '2020': {'value': 132230, 'land': 21570, 'improvements': 110660}, '2021': {'value': 147460, 'land': 38000, 'improvements': 109460}, '2022': {'value': 173900, 'land': 41800, 'improvements': 132100}, '2023': {'value': 197700, 'land': 50100, 'improvements': 147600}}","{'2019': {'total': 2780}, '2021': {'total': 3130}, '2022': {'total': 3602}, '2023': {'total': 3726}}",WOODLAKE PARK
"6915-Quail-Lk,-San-Antonio,-TX-78244",181,121,162,05080-502-0070,CB 5080E BLK 2 LOT 7 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 148810, 'land': 18640, 'improvements': 130170}, '2019': {'value': 157960, 'land': 23300, 'improvements': 134660}, '2020': {'value': 166590, 'land': 23300, 'improvements': 143290}, '2021': {'value': 186170, 'land': 44410, 'improvements': 141760}, '2022': {'value': 219690, 'land': 48880, 'improvements': 170810}, '2023': {'value': 249440, 'land': 58580, 'improvements': 190860}}","{'2019': {'total': 3273}, '2021': {'total': 3737}, '2022': {'total': 4341}, '2023': {'total': 4698}}",WOODLAKE PARK
"6918-Trail-Lk,-San-Antonio,-TX-78244",182,122,163,05080-502-0120,CB 5080E BLK 2 LOT 12 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 102970, 'land': 17610, 'improvements': 85360}, '2019': {'value': 110180, 'land': 22010, 'improvements': 88170}, '2020': {'value': 115830, 'land': 22010, 'improvements': 93820}, '2021': {'value': 132700, 'land': 39990, 'improvements': 92710}, '2022': {'value': 157760, 'land': 44050, 'improvements': 113710}, '2023': {'value': 179700, 'land': 52820, 'improvements': 126880}}","{'2019': {'total': 2441}, '2021': {'total': 2818}, '2022': {'total': 3269}, '2023': {'total': 3388}}",WOODLAKE PARK
"6843-Blue-Lake-Dr,-San-Antonio,-TX-78244",183,123,164,05076-108-0150,CB 5076A BLK 8 LOT 15,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 88220, 'land': 17460, 'improvements': 70760}, '2019': {'value': 99270, 'land': 21820, 'improvements': 77450}, '2020': {'value': 104240, 'land': 21820, 'improvements': 82420}, '2022': {'value': 143140, 'land': 43310, 'improvements': 99830}, '2023': {'value': 163400, 'land': 51900, 'improvements': 111500}}","{'2019': {'total': 2201}, '2021': {'total': 2568}, '2022': {'total': 2967}}",CONV A/S CODE
"6934-Trail-Lk,-San-Antonio,-TX-78244",184,124,165,05080-502-0080,CB 5080E BLK 2 LOT 8 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 139051, 'land': 18180, 'improvements': 131160}, '2019': {'value': 152956, 'land': 22720, 'improvements': 136200}, '2020': {'value': 167650, 'land': 22720, 'improvements': 144930}, '2021': {'value': 184415, 'land': 43000, 'improvements': 143910}, '2022': {'value': 223670, 'land': 47330, 'improvements': 176340}, '2023': {'value': 254670, 'land': 56700, 'improvements': 197970}}","{'2019': {'total': 1298}, '2021': {'total': 1293}, '2022': {'total': 4629}, '2023': {'total': 4520}}",WOODLAKE PARK
"7004-Atherton,-San-Antonio,-TX-78244",185,13,166,05080-214-0050,CB: 5080B BLK: 14 LOT: 5 WOODLAKE DUPLEX UNIT-1,0.0,1985.0,unknown,Duplex-Triplex,"{'2018': {'value': 139000, 'land': 33310, 'improvements': 105690}, '2019': {'value': 168000, 'land': 33310, 'improvements': 134690}, '2020': {'value': 174000, 'land': 33310, 'improvements': 140690}, '2021': {'value': 195000, 'land': 51490, 'improvements': 143510}, '2022': {'value': 204000, 'land': 56610, 'improvements': 147390}, '2023': {'value': 242520, 'land': 67840, 'improvements': 174680}}","{'2019': {'total': 3724}, '2021': {'total': 4144}, '2022': {'total': 4232}, '2023': {'total': 4229}}",CONV A/S CODE
"6929-Trail-Lk,-San-Antonio,-TX-78244",186,125,167,05080-501-0090,CB 5080E BLK 1 LOT 9 WOODLAKE PARK UT-1,0.0,1985.0,unknown,Single Family,"{'2018': {'value': 97000, 'land': 18250, 'improvements': 78750}, '2019': {'value': 108000, 'land': 22820, 'improvements': 85180}, '2020': {'value': 110000, 'land': 22820, 'improvements': 87180}, '2021': {'value': 132000, 'land': 43210, 'improvements': 88790}, '2022': {'value': 158000, 'land': 47490, 'improvements': 110510}, '2023': {'value': 187000, 'land': 56940, 'improvements': 130060}}","{'2019': {'total': 2393}, '2021': {'total': 2804}, '2022': {'total': 3274}, '2023': {'total': 3525}}",WOODLAKE PARK
"6911-Trail-Lk,-San-Antonio,-TX-78244",187,126,168,05080-501-0030,CB 5080E BLK 1 LOT 3 WOODLAKE PARK UT-1,1.0,1984.0,unknown,Single Family,"{'2018': {'value': 146610, 'land': 17260, 'improvements': 129350}, '2019': {'value': 155570, 'land': 21570, 'improvements': 134000}, '2020': {'value': 164160, 'land': 21570, 'improvements': 142590}, '2021': {'value': 179280, 'land': 38000, 'improvements': 141280}, '2022': {'value': 214870, 'land': 41800, 'improvements': 173070}, '2023': {'value': 243850, 'land': 50100, 'improvements': 193750}}","{'2019': {'total': 3441}, '2021': {'total': 3803}, '2022': {'total': 4448}, '2023': {'total': 4593}}",WOODLAKE PARK
"6907-Trail-Lk,-San-Antonio,-TX-78244",188,127,169,05080-501-0020,CB 5080E BLK 1 LOT 2 WOODLAKE PARK UT-1,1.0,1984.0,unknown,Single Family,"{'2018': {'value': 134160, 'land': 17260, 'improvements': 116900}, '2019': {'value': 142520, 'land': 21570, 'improvements': 120950}, '2020': {'value': 150270, 'land': 21570, 'improvements': 128700}, '2021': {'value': 165297, 'land': 38000, 'improvements': 127400}, '2022': {'value': 195320, 'land': 41800, 'improvements': 153520}, '2023': {'value': 221710, 'land': 50100, 'improvements': 171610}}","{'2019': {'total': 3154}, '2021': {'total': 3188}, '2022': {'total': 3158}, '2023': {'total': 2561}}",WOODLAKE PARK
"6954-Lakeview-Dr,-San-Antonio,-TX-78244",189,120,170,05080-240-0160,"CB 5080B (LAKEVIEW VILLAS), BLOCK 140 LOT 16 2020-CREATED PER PLAT 20001/929-931",1.0,2019.0,unknown,Duplex-Triplex,"{'2020': {'value': 302770, 'land': 56170, 'improvements': 246600}, '2022': {'value': 434530, 'land': 70770, 'improvements': 363760}, '2023': {'value': 466080, 'land': 84880, 'improvements': 381200}}","{'2021': {'total': 6160}, '2022': {'total': 7325}, '2023': {'total': 6549}}",unknown
"7016-Atherton,-San-Antonio,-TX-78244",190,128,171,05080-214-0020,CB: 5080B BLK: 14 LOT: 2 WOODLAKE DUPLEX UNIT-1,0.0,1985.0,unknown,Duplex-Triplex,"{'2018': {'value': 145360, 'land': 27130, 'improvements': 118230}, '2019': {'value': 172810, 'land': 27130, 'improvements': 145680}, '2020': {'value': 130000, 'land': 27130, 'improvements': 102870}, '2021': {'value': 185000, 'land': 41490, 'improvements': 143510}, '2022': {'value': 199000, 'land': 45600, 'improvements': 153400}, '2023': {'value': 233440, 'land': 54720, 'improvements': 178720}}","{'2019': {'total': 3830}, '2021': {'total': 3933}, '2022': {'total': 4129}}",CONV A/S CODE
"6922-Trail-Lk,-San-Antonio,-TX-78244",191,129,172,05080-502-0110,CB 5080E BLK 2 LOT 11 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 119670, 'land': 17390, 'improvements': 102280}, '2019': {'value': 127420, 'land': 21730, 'improvements': 105690}, '2020': {'value': 134190, 'land': 21730, 'improvements': 112460}, '2021': {'value': 147609, 'land': 39000, 'improvements': 111190}, '2022': {'value': 176670, 'land': 42900, 'improvements': 133770}, '2023': {'value': 200780, 'land': 51420, 'improvements': 149360}}","{'2019': {'total': 2821}, '2021': {'total': 2814}, '2022': {'total': 2768}, '2023': {'total': 2175}}",WOODLAKE PARK
"6935-Trail-Lk,-San-Antonio,-TX-78244",192,130,173,05080-501-0110,CB 5080E BLK 1 LOT 11 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 123520, 'land': 20480, 'improvements': 103040}, '2019': {'value': 132250, 'land': 25590, 'improvements': 106660}, '2020': {'value': 139080, 'land': 25590, 'improvements': 113490}, '2021': {'value': 162200, 'land': 49860, 'improvements': 112340}, '2022': {'value': 190890, 'land': 54830, 'improvements': 136060}, '2023': {'value': 217870, 'land': 65710, 'improvements': 152160}}","{'2019': {'total': 2927}, '2021': {'total': 3442}, '2022': {'total': 3953}, '2023': {'total': 4105}}",WOODLAKE PARK
"6919-Trail-Lk,-San-Antonio,-TX-78244",193,131,174,05080-501-0050,CB 5080E BLK 1 LOT 5 WOODLAKE PARK UT-1,1.0,1985.0,unknown,Single Family,"{'2018': {'value': 105400, 'land': 17260, 'improvements': 88140}, '2019': {'value': 112800, 'land': 21570, 'improvements': 91230}, '2020': {'value': 118650, 'land': 21570, 'improvements': 97080}, '2021': {'value': 134100, 'land': 38000, 'improvements': 96100}, '2022': {'value': 159890, 'land': 41800, 'improvements': 118090}, '2023': {'value': 182240, 'land': 50100, 'improvements': 132140}}","{'2019': {'total': 2499}, '2021': {'total': 2848}, '2022': {'total': 3313}, '2023': {'total': 3436}}",WOODLAKE PARK
"5311-Lakebend-East-Dr,-San-Antonio,-TX-78244",194,132,175,050805060030,CB 5080E BLK 6 LOT 3 WOODLAKE PARK UT-1,1.0,1984.0,unknown,Single Family,"{'2018': {'value': 116488}, '2019': {'value': 128137, 'land': 21510, 'improvements': 108690}}",{'2018': {'total': 2661}},WOODLAKE PARK UN 01
"7010-Atherton,-San-Antonio,-TX-78244",195,13,176,05080-214-0030,CB: 5080B BLK: 14 LOT: 3 WOODLAKE DUPLEX UNIT-1,0.0,1985.0,unknown,Duplex-Triplex,"{'2018': {'value': 136000, 'land': 27100, 'improvements': 108900}, '2019': {'value': 164000, 'land': 27100, 'improvements': 136900}, '2020': {'value': 170000, 'land': 27100, 'improvements': 142900}, '2021': {'value': 180000, 'land': 41350, 'improvements': 138650}, '2022': {'value': 192500, 'land': 45440, 'improvements': 147060}, '2023': {'value': 229170, 'land': 54490, 'improvements': 174680}}","{'2019': {'total': 3636}, '2021': {'total': 3827}, '2022': {'total': 3995}, '2023': {'total': 3966}}",CONV A/S CODE
"7032-Atherton,-San-Antonio,-TX-78244",196,0,148,Uknown,unknown,0.0,0.0,unknown,Single Family,{},unknown,unknown
"5314-Lake,-Golden,-San-Antonio,-TX-78244",197,133,177,05080-506-0110,CB 5080E BLK 6 LOT 11 WOODLAKE PARK UT-2,0.0,1986.0,unknown,Single Family,"{'2018': {'value': 115764, 'land': None, 'improvements': None}, '2019': {'value': 127340, 'land': None, 'improvements': None}, '2020': {'value': 136200, 'land': 20600, 'improvements': 115600}, '2021': {'value': 147370, 'land': 33010, 'improvements': 114360}, '2022': {'value': 162107, 'land': None, 'improvements': None}, '2023': {'value': 197700, 'land': 43530, 'improvements': 154170}}","{'2018': {'total': 2645}, '2019': {'total': 2805}, '2020': {'total': 2887}, '2021': {'total': 3115}, '2022': {'total': 2764}, '2023': {'total': 3726}}",WOODLAKE PARK
"7008-Atherton,-San-Antonio,-TX-78244",198,13,178,05080-214-0040,CB: 5080B BLK: 14 LOT: 4 WOODLAKE DUPLEX UNIT-1,0.0,1985.0,unknown,Duplex-Triplex,"{'2018': {'value': 127000, 'land': 28690, 'improvements': 98310}, '2019': {'value': 145000, 'land': 28690, 'improvements': 116310}, '2020': {'value': 150000, 'land': 28690, 'improvements': 121310}, '2021': {'value': 170000, 'land': 44550, 'improvements': 125450}, '2022': {'value': 177500, 'land': 48940, 'improvements': 128560}, '2023': {'value': 209470, 'land': 58680, 'improvements': 150790}}","{'2019': {'total': 3217}, '2021': {'total': 3616}, '2022': {'total': 3685}, '2023': {'total': 3666}}",CONV A/S CODE
"5503-Grand-Lake-Dr,-San-Antonio,-TX-78244",199,134,179,05076-103-0520,CB 5076A BLK 3 LOT 52,1.0,1973.0,unknown,Single Family,"{'2018': {'value': 155060, 'land': 22820, 'improvements': 132240}, '2019': {'value': 165720, 'land': 28520, 'improvements': 137200}, '2020': {'value': 174520, 'land': 28520, 'improvements': 146000}, '2022': {'value': 240790, 'land': 63580, 'improvements': 177210}, '2023': {'value': 275060, 'land': 76200, 'improvements': 198860}}","{'2019': {'total': 3323}, '2021': {'total': 3499}, '2022': {'total': 3100}, '2023': {'total': 5179}}",CONV A/S CODE
"5314-Shadow-Lake-Dr,-San-Antonio,-TX-78244",200,135,180,05076-111-0080,CB 5076A BLK 11 LOT 8,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 90100, 'land': 17860, 'improvements': 72240}, '2019': {'value': 97090, 'land': 22320, 'improvements': 74770}, '2020': {'value': 101880, 'land': 22320, 'improvements': 79560}, '2021': {'value': 120120, 'land': 41370, 'improvements': 78750}, '2022': {'value': 142610, 'land': 45530, 'improvements': 97080}, '2023': {'value': 163180, 'land': 54610, 'improvements': 108570}}","{'2019': {'total': 1811}, '2021': {'total': 2552}, '2022': {'total': 2956}, '2023': {'total': 3078}}",CONV A/S CODE
"5322-Lake,-Golden,-San-Antonio,-TX-78244",201,136,181,05080-506-0130,CB 5080E BLK 6 LOT 13 WOODLAKE PARK UT-2,1.0,1987.0,unknown,Single Family,"{'2018': {'value': 134497, 'land': 19340, 'improvements': 120590}, '2019': {'value': 147947, 'land': 24180, 'improvements': 124550}, '2020': {'value': 156710, 'land': 24180, 'improvements': 132530}, '2022': {'value': 209820, 'land': 51580, 'improvements': 158240}, '2023': {'value': 238320, 'land': 61800, 'improvements': 176520}}","{'2019': {'total': 2932}, '2021': {'total': 3338}, '2022': {'total': 3310}, '2023': {'total': 2710}}",WOODLAKE PARK
"5516-Grand-Lake-Dr,-San-Antonio,-TX-78244",202,0,182,05076-103-0850,CB 5076A BLK 3 LOT 85,1.0,1973.0,unknown,Single Family,"{'2018': {'value': 111529, 'land': 18140, 'improvements': 97540}, '2019': {'value': 122682, 'land': 22670, 'improvements': 100950}, '2020': {'value': 130090, 'land': 22670, 'improvements': 107420}, '2021': {'value': 143099, 'land': 42770, 'improvements': 106330}, '2022': {'value': 178450, 'land': 47050, 'improvements': 131400}, '2023': {'value': 203340, 'land': 56390, 'improvements': 146950}}","{'2019': {'total': 2375}, '2021': {'total': 2719}, '2022': {'total': 2276}, '2023': {'total': 1439}}",CONV A/S CODE
"5418-Lake-Grove-Dr,-San-Antonio,-TX-78244",203,137,183,05076-110-0050,CB 5076A BLK 10 LOT 5,0.0,1972.0,unknown,Single Family,"{'2018': {'value': 98110, 'land': 21280, 'improvements': 76830}, '2019': {'value': 106270, 'land': 26600, 'improvements': 79670}, '2020': {'value': 111380, 'land': 26600, 'improvements': 84780}, '2021': {'value': 137020, 'land': 52950, 'improvements': 84070}, '2022': {'value': 162590, 'land': 58330, 'improvements': 104260}, '2023': {'value': 186760, 'land': 69870, 'improvements': 116890}}","{'2019': {'total': 2355}, '2021': {'total': 2910}, '2022': {'total': 3369}, '2023': {'total': 3520}}",CONV A/S CODE
"5407-Shadow-Lake-Dr,-San-Antonio,-TX-78244",204,138,184,05076-110-0110,CB 5076A BLK 10 LOT 11,1.0,1972.0,unknown,Single Family,"{'2018': {'value': 108361, 'land': 19470, 'improvements': 92620}, '2019': {'value': 119197, 'land': 24330, 'improvements': 96140}, '2020': {'value': 126640, 'land': 24330, 'improvements': 102310}, '2022': {'value': 178100, 'land': 51920, 'improvements': 126180}, '2023': {'value': 203830, 'land': 62160, 'improvements': 141670}}",unknown,CONV A/S CODE
